first_name,second_name,id,understat_id
Mesut,Özil,1,499
Sokratis,Papastathopoulos,2,371
David,Luiz Moreira Marinho,3,1676
Pierre-Emerick,Aubameyang,4,318
Cédric,Soares,5,847
Alexandre,Lacazette,6,3277
Shkodran,Mustafi,7,1699
Bernd,Leno,8,181
Granit,Xhaka,9,204
Pablo,Marí,10,8380
Héctor,Bellerín,11,492
Emiliano,Martínez,12,4401
Calum,Chambers,13,508
Sead,Kolasinac,14,342
Ainsley,Maitland-Niles,15,1750
Rob,Holding,16,1749
Kieran,Tierney,17,8089
Nicolas,Pépé,18,5656
Lucas,Torreira,19,1227
Joseph,Willock,20,6630
Reiss,Nelson,21,6492
Edward,Nketiah,22,6482
Emile,Smith Rowe,23,7230
Bukayo,Saka,24,7322
Matteo,Guendouzi,25,5759
Gabriel Teodoro,Martinelli Silva,26,7752
William,Saliba,27,6888
Willian,Borges Da Silva,478,700
Tom,Heaton,28,1651
Ahmed,El Mohamady,29,1685
Henri,Lansbury,30,7727
Neil,Taylor,31,710
Jed,Steer,32,4475
Conor,Hourihane,33,7721
José Ignacio,Peleteiro Romallo,34,2132
Ørjan,Nyland,35,250
Bjorn,Engels,36,7152
Jack,Grealish,37,675
John,McGinn,38,7723
Kortney,Hause,39,6859
Mahmoud Ahmed,Ibrahim Hassan,40,7722
Tyrone,Mings,41,1024
Matt,Targett,42,884
James,Bree,43,
Marvelous,Nakamba,44,8040
Anwar,El Ghazi,45,5612
Ezri,Konsa Ngoyo,46,7726
Frédéric,Guilbert,47,3253
Wesley,Moraes,48,7724
Mbwana,Samatta,49,8287
Keinan,Davis,50,1053
Indiana,Vassilev,51,8254
Douglas Luiz,Soares de Paulo,52,6122
Glenn,Murray,53,882
Adam,Lallana,54,486
Dale,Stephens,55,6051
David,Button,56,6843
Pascal,Groß,57,239
Shane,Duffy,58,6047
Davy,Pröpper,59,6050
Aaron,Mooy,60,6033
Dan,Burn,61,7382
Lewis,Dunk,62,6048
Martín,Montoya,63,1950
Florin,Andone,64,4068
Solomon,March,65,6049
Adam,Webster,66,7699
Joël,Veltman,67,
Neal,Maupay,68,3621
Leandro,Trossard,69,7698
Mathew,Ryan,70,2385
Alireza,Jahanbakhsh,71,6842
José,Izquierdo,72,6231
Matthew,Clarke,73,
Ben,White,74,
Bernardo,Fernandes da Silva Junior,75,5245
Yves,Bissouma,76,5609
Tariq,Lamptey,77,8226
Aaron,Connolly,78,7991
Steven,Alzate,79,8020
Alexis,Mac Allister,80,8379
James,Tarkowski,81,1665
Phil,Bardsley,82,857
Erik,Pieters,83,887
Jack,Cork,84,712
Kevin,Long,85,1747
Jay,Rodriguez,86,844
Ashley,Barnes,87,4422
Ben,Mee,88,1654
Ashley,Westwood,89,669
Johann Berg,Gudmundsson,90,1663
Chris,Wood,91,4456
Matthew,Lowton,92,1652
Matej,Vydra,93,1017
Ben,Gibson,94,1707
Robbie,Brady,95,789
